,timestep,Chord_vector,Chord_label
1104,102.5393,"[10, 5, 5, 4]",A#:sus4/5
1105,102.6322,"[5, 5, 0, 4]",F:maj
1106,102.7251,"[5, 5, 0, 4]",F:maj
1107,102.818,"[5, 5, 0, 4]",F:maj
1108,102.9108,"[5, 5, 0, 4]",F:maj
1109,103.0037,"[5, 5, 0, 4]",F:maj
1110,103.0966,"[5, 5, 0, 4]",F:maj
1111,103.1895,"[5, 5, 0, 4]",F:maj
1112,103.2824,"[5, 5, 0, 4]",F:maj
1113,103.3752,"[5, 5, 0, 4]",F:maj
1114,103.4681,"[5, 5, 0, 4]",F:maj
1115,103.561,"[5, 5, 5, 4]",F:sus4
1116,103.6539,"[5, 5, 5, 4]",F:sus4
1117,103.7468,"[5, 5, 5, 4]",F:sus4
1118,103.8396,"[5, 5, 5, 4]",F:sus4
1119,103.9325,"[5, 5, 5, 4]",F:sus4
1120,104.0254,"[5, 5, 5, 4]",F:sus4
1121,104.1183,"[5, 5, 5, 4]",F:sus4
1122,104.2112,"[5, 5, 5, 4]",F:sus4
1123,104.304,"[5, 5, 5, 4]",F:sus4
1124,104.3969,"[5, 5, 5, 4]",F:sus4
1125,104.4898,"[5, 5, 5, 4]",F:sus4
1126,104.5827,"[5, 5, 5, 4]",F:sus4
1127,104.6756,"[5, 5, 5, 4]",F:sus4
1128,104.7684,"[5, 5, 5, 4]",F:sus4
1129,104.8613,"[5, 5, 5, 4]",F:sus4
1130,104.9542,"[5, 5, 0, 4]",F:maj
1131,105.0471,"[5, 5, 0, 4]",F:maj
1132,105.14,"[5, 5, 0, 4]",F:maj
1133,105.2328,"[5, 5, 0, 4]",F:maj
1134,105.3257,"[5, 5, 0, 4]",F:maj
1135,105.4186,"[5, 5, 0, 4]",F:maj
1136,105.5115,"[5, 5, 0, 4]",F:maj
1137,105.6044,"[5, 5, 0, 4]",F:maj
1138,105.6972,"[5, 5, 0, 4]",F:maj
1139,105.7901,"[5, 5, 0, 4]",F:maj
1140,105.883,"[5, 5, 0, 4]",F:maj
1141,105.9759,"[5, 5, 0, 4]",F:maj
1142,106.0688,"[5, 5, 0, 4]",F:maj
1143,106.1616,"[5, 5, 0, 4]",F:maj
1144,106.2545,"[5, 5, 0, 4]",F:maj
1145,106.3474,"[5, 5, 0, 4]",F:maj
1146,106.4403,"[5, 5, 0, 4]",F:maj
1147,106.5332,"[5, 5, 0, 4]",F:maj
1148,106.626,"[5, 5, 0, 4]",F:maj
1149,106.7189,"[5, 5, 0, 4]",F:maj
1150,106.8118,"[5, 5, 0, 4]",F:maj
1151,106.9047,"[5, 5, 0, 4]",F:maj
1152,106.9976,"[5, 5, 0, 4]",F:maj
1153,107.0904,"[5, 5, 0, 4]",F:maj
1154,107.1833,"[5, 5, 0, 4]",F:maj
1155,107.2762,"[5, 5, 0, 4]",F:maj
1156,107.3691,"[5, 5, 0, 4]",F:maj
1157,107.462,"[5, 5, 0, 4]",F:maj
1158,107.5548,"[5, 5, 0, 4]",F:maj
1159,107.6477,"[5, 5, 0, 4]",F:maj
1160,107.7406,"[5, 5, 0, 4]",F:maj
1161,107.8335,"[5, 5, 0, 4]",F:maj
1162,107.9263,"[5, 5, 0, 4]",F:maj
1163,108.0192,"[5, 5, 0, 4]",F:maj
1164,108.1121,"[5, 5, 5, 4]",F:sus4
1165,108.205,"[5, 5, 5, 4]",F:sus4
1166,108.2979,"[5, 5, 5, 4]",F:sus4
1167,108.3907,"[5, 5, 5, 4]",F:sus4
1168,108.4836,"[5, 5, 5, 4]",F:sus4
1169,108.5765,"[5, 5, 5, 4]",F:sus4
1170,108.6694,"[5, 5, 5, 4]",F:sus4
1171,108.7623,"[5, 5, 5, 4]",F:sus4
1172,108.8551,"[5, 5, 5, 4]",F:sus4
1173,108.948,"[5, 5, 0, 4]",F:maj
1174,109.0409,"[5, 5, 0, 4]",F:maj
1175,109.1338,"[5, 5, 0, 4]",F:maj
1176,109.2267,"[5, 5, 0, 4]",F:maj
1177,109.3195,"[5, 5, 0, 4]",F:maj
1178,109.4124,"[5, 5, 0, 4]",F:maj
1179,109.5053,"[5, 5, 0, 4]",F:maj
1180,109.5982,"[5, 5, 0, 4]",F:maj
1181,109.6911,"[5, 5, 0, 4]",F:maj
1182,109.7839,"[5, 5, 0, 4]",F:maj
1183,109.8768,"[5, 5, 0, 4]",F:maj
1184,109.9697,"[5, 5, 0, 4]",F:maj
1185,110.0626,"[5, 5, 0, 4]",F:maj
1186,110.1555,"[5, 5, 0, 4]",F:maj
1187,110.2483,"[5, 5, 0, 4]",F:maj
1188,110.3412,"[5, 5, 0, 4]",F:maj
1189,110.4341,"[5, 5, 0, 4]",F:maj
1190,110.527,"[5, 5, 0, 4]",F:maj
1191,110.6199,"[5, 5, 0, 4]",F:maj
1192,110.7127,"[5, 5, 0, 4]",F:maj
1193,110.8056,"[5, 5, 0, 4]",F:maj
1194,110.8985,"[5, 7, 0, 4]",N
1195,110.9914,"[5, 7, 0, 4]",N
