,timestep,Chord_vector,Chord_label
1492,138.5767,"[5, 5, 0, 4]",F:maj
1493,138.6696,"[5, 5, 0, 4]",F:maj
1494,138.7624,"[5, 7, 0, 4]",N
1495,138.8553,"[5, 7, 0, 4]",N
1496,138.9482,"[5, 7, 0, 4]",N
1497,139.0411,"[5, 7, 0, 4]",N
1498,139.134,"[5, 7, 0, 4]",N
1499,139.2268,"[5, 7, 0, 4]",N
1500,139.3197,"[5, 5, 4, 4]",F:sus2
1501,139.4126,"[5, 5, 4, 4]",F:sus2
1502,139.5055,"[5, 5, 4, 4]",F:sus2
1503,139.5984,"[5, 5, 4, 4]",F:sus2
1504,139.6912,"[5, 5, 4, 4]",F:sus2
1505,139.7841,"[5, 5, 4, 4]",F:sus2
1506,139.877,"[5, 5, 4, 4]",F:sus2
1507,139.9699,"[5, 5, 4, 4]",F:sus2
1508,140.0628,"[10, 5, 4, 4]",A#:sus2/5
1509,140.1556,"[10, 5, 4, 4]",A#:sus2/5
1510,140.2485,"[10, 5, 4, 4]",A#:sus2/5
1511,140.3414,"[10, 10, 4, 4]",A#:sus2
1512,140.4343,"[10, 10, 4, 4]",A#:sus2
1513,140.5272,"[10, 10, 4, 4]",A#:sus2
1514,140.62,"[10, 10, 4, 4]",A#:sus2
1515,140.7129,"[10, 10, 4, 4]",A#:sus2
1516,140.8058,"[10, 10, 4, 4]",A#:sus2
1517,140.8987,"[10, 10, 4, 4]",A#:sus2
1518,140.9916,"[10, 10, 4, 4]",A#:sus2
1519,141.0844,"[10, 10, 4, 4]",A#:sus2
1520,141.1773,"[10, 10, 4, 4]",A#:sus2
1521,141.2702,"[10, 10, 4, 4]",A#:sus2
1522,141.3631,"[10, 10, 4, 4]",A#:sus2
1523,141.456,"[10, 10, 4, 4]",A#:sus2
1524,141.5488,"[10, 10, 4, 4]",A#:sus2
1525,141.6417,"[10, 10, 4, 4]",A#:sus2
1526,141.7346,"[10, 10, 4, 4]",A#:sus2
1527,141.8275,"[10, 10, 4, 4]",A#:sus2
1528,141.9204,"[10, 10, 4, 4]",A#:sus2
1529,142.0132,"[10, 10, 4, 4]",A#:sus2
1530,142.1061,"[10, 10, 4, 4]",A#:sus2
1531,142.199,"[10, 10, 4, 4]",A#:sus2
1532,142.2919,"[10, 10, 4, 4]",A#:sus2
1533,142.3848,"[10, 10, 4, 4]",A#:sus2
1534,142.4776,"[10, 10, 4, 4]",A#:sus2
1535,142.5705,"[10, 10, 4, 4]",A#:sus2
1536,142.6634,"[10, 10, 4, 4]",A#:sus2
1537,142.7563,"[10, 10, 4, 4]",A#:sus2
1538,142.8492,"[10, 10, 4, 4]",A#:sus2
1539,142.942,"[10, 10, 4, 4]",A#:sus2
1540,143.0349,"[10, 10, 4, 4]",A#:sus2
1541,143.1278,"[10, 10, 4, 4]",A#:sus2
1542,143.2207,"[10, 10, 4, 4]",A#:sus2
1543,143.3136,"[10, 10, 4, 4]",A#:sus2
